label,cohort,feature,samples,non_null,non_null_pct
CIB,model_ready_immobile,Y(PPM),335,298,88.9552
CIB,model_ready_immobile,ZR(PPM),335,335,100.0
CIB,model_ready_immobile,NB(PPM),335,299,89.2537
CIB,model_ready_immobile,LA(PPM),335,335,100.0
CIB,model_ready_immobile,CE(PPM),335,335,100.0
CIB,model_ready_immobile,ND(PPM),335,326,97.3134
CIB,model_ready_immobile,TH(PPM),335,326,97.3134
CIB,model_ready_immobile,SM(PPM),335,331,98.806
CIB,model_ready_immobile,EU(PPM),335,327,97.6119
CIB,model_ready_immobile,YB(PPM),335,326,97.3134
CIB,model_ready_immobile,LU(PPM),335,322,96.1194
CIB,model_ready_immobile,HF(PPM),335,321,95.8209
CIB,model_ready_immobile,TA(PPM),335,297,88.6567
CIB,model_ready_immobile,U(PPM),335,277,82.6866
